player,key,web_key,club,league,minutes,goals,assists,xg,xa,form
Alex Murphy,alex murphy,a.murphy,Newcastle,EPL,7,0,0,0.0,0.0,0.3
Harrison Ashby,harrison ashby,ashby,Newcastle,EPL,0,0,0,0.0,0.0,0.0
Miodrag Pivaš,miodrag pivas,pivas,Newcastle,EPL,0,0,0,0.0,0.0,0.0
Matt Targett,matt targett,targett,Newcastle,EPL,0,0,0,0.0,0.0,0.0
Anthony Gordon,anthony gordon,gordon,Newcastle,EPL,1798,6,4,8.77,3.38,0.0
Anthony Elanga,anthony elanga,elanga,Newcastle,EPL,1302,0,1,1.65,1.74,0.7
Harvey Barnes,harvey barnes,barnes,Newcastle,EPL,1951,7,1,6.84,2.72,4.3
Bruno Guimarães Rodriguez Moura,bruno guimaraes rodriguez moura,bruno g.,Newcastle,EPL,2456,9,7,5.59,4.96,3.7
Jacob Murphy,jacob murphy,j.murphy,Newcastle,EPL,1606,3,2,3.07,2.66,1.7
Joelinton Cássio Apolinário de Lira,joelinton cassio apolinario de lira,joelinton,Newcastle,EPL,1950,2,1,2.36,1.35,0.7
Sandro Tonali,sandro tonali,tonali,Newcastle,EPL,2534,0,2,1.75,2.87,1.0
Antoñito Cordero Campillo,antonito cordero campillo,antonito c.,Newcastle,EPL,0,0,0,0.0,0.0,0.0
Joe Willock,joe willock,willock,Newcastle,EPL,972,0,2,1.26,1.07,2.0
Isaac Hayden,isaac hayden,hayden,Newcastle,EPL,0,0,0,0.0,0.0,0.0
Garang Kuol,garang kuol,kuol,Newcastle,EPL,0,0,0,0.0,0.0,0.0
Lewis Miley,lewis miley,l.miley,Newcastle,EPL,1493,1,4,1.36,2.1,0.0
Joe White,joe white,white,Newcastle,EPL,0,0,0,0.0,0.0,0.0
William Osula,william osula,osula,Newcastle,EPL,805,7,1,4.28,0.62,5.7
Sean Neave,sean neave,neave,Newcastle,EPL,13,0,0,0.03,0.0,0.3
Aaron Ramsdale,aaron ramsdale,ramsdale,Newcastle,EPL,1003,0,0,0.0,0.0,0.0
Malick Thiaw,malick thiaw,thiaw,Newcastle,EPL,2963,4,0,4.8,0.96,1.7
Seung-Soo Park,seung-soo park,seung soo,Newcastle,EPL,0,0,0,0.0,0.0,0.0
Nick Woltemade,nick woltemade,woltemade,Newcastle,EPL,1896,8,4,6.59,1.53,4.0
John Ruddy,john ruddy,ruddy,Newcastle,EPL,0,0,0,0.0,0.0,0.0
Leo Shahar,leo shahar,shahar,Newcastle,EPL,0,0,0,0.0,0.0,0.0
Sam Alabi,sam alabi,alabi,Newcastle,EPL,0,0,0,0.0,0.0,0.0
Oleksandr Zinchenko,oleksandr zinchenko,zinchenko,Nott'm Forest,EPL,352,0,0,0.07,0.36,0.0
Stefan Ortega Moreno,stefan ortega moreno,ortega moreno,Nott'm Forest,EPL,270,0,0,0.0,0.01,0.0
James McAtee,james mcatee,mcatee,Nott'm Forest,EPL,288,0,1,0.18,0.37,2.0
Matz Sels,matz sels,sels,Nott'm Forest,EPL,2667,0,0,0.0,0.06,2.7
Carlos Miguel dos Santos Pereira,carlos miguel dos santos pereira,c.miguel,Nott'm Forest,EPL,0,0,0,0.0,0.0,0.0
Matt Turner,matt turner,turner,Nott'm Forest,EPL,0,0,0,0.0,0.0,0.0
Nikola Milenković,nikola milenkovic,milenkovic,Nott'm Forest,EPL,3375,0,1,0.83,0.68,2.3
Murillo Costa dos Santos,murillo costa dos santos,murillo,Nott'm Forest,EPL,2130,1,0,0.73,0.47,0.0
Ola Aina,ola aina,aina,Nott'm Forest,EPL,1587,0,2,0.41,0.84,0.0
Neco Williams,neco williams,n.williams,Nott'm Forest,EPL,3203,2,3,2.01,3.97,1.7
David Mota Veiga Teixeira do Carmo,david mota veiga teixeira do carmo,david carmo,Nott'm Forest,EPL,0,0,0,0.0,0.0,0.0
Jair Paula da Cunha Filho,jair paula da cunha filho,jair cunha,Nott'm Forest,EPL,514,0,0,0.27,0.06,1.7
Felipe Rodrigues da Silva,felipe rodrigues da silva,morato,Nott'm Forest,EPL,1340,1,0,1.32,0.15,5.0
Omar Richards,omar richards,o.richards,Nott'm Forest,EPL,0,0,0,0.0,0.0,0.0
Zach Abbott,zach abbott,abbott,Nott'm Forest,EPL,165,0,0,0.0,0.01,0.0
Willy Boly,willy boly,boly,Nott'm Forest,EPL,0,0,0,0.0,0.0,0.0
Morgan Gibbs-White,morgan gibbs-white,gibbs-white,Nott'm Forest,EPL,3101,15,4,10.81,2.91,5.3
Callum Hudson-Odoi,callum hudson-odoi,hudson-odoi,Nott'm Forest,EPL,1838,3,4,2.77,3.02,0.0
Elliot Anderson,elliot anderson,anderson,Nott'm Forest,EPL,3332,4,5,2.94,4.79,8.7
João Pedro Ferreira da Silva,joao pedro ferreira da silva,jota,Nott'm Forest,EPL,11,0,0,0.0,0.0,0.0
Nicolás Domínguez,nicolas dominguez,dominguez,Nott'm Forest,EPL,1168,1,1,1.47,0.77,1.3
Lewis O'Brien,lewis o'brien,o'brien,Nott'm Forest,EPL,0,0,0,0.0,0.0,0.0
Ibrahim Sangaré,ibrahim sangare,sangare,Nott'm Forest,EPL,2073,2,2,1.16,1.8,1.7
Ryan Yates,ryan yates,yates,Nott'm Forest,EPL,602,0,2,0.49,0.37,0.3
Eric da Silva Moreira,eric da silva moreira,da silva moreira,Nott'm Forest,EPL,0,0,0,0.0,0.0,0.0
Marko Stamenić,marko stamenic,stamenic,Nott'm Forest,EPL,0,0,0,0.0,0.0,0.0
Chris Wood,chris wood,wood,Nott'm Forest,EPL,896,3,0,4.29,0.32,1.7
Igor Jesus Maciel da Cruz,igor jesus maciel da cruz,igor jesus,Nott'm Forest,EPL,2293,6,6,6.48,1.26,1.7
Taiwo Awoniyi,taiwo awoniyi,awoniyi,Nott'm Forest,EPL,480,4,2,3.68,0.77,1.0
Dan Ndoye,dan ndoye,ndoye,Nott'm Forest,EPL,1167,1,2,1.05,1.51,0.0
Angus Gunn,angus gunn,gunn,Nott'm Forest,EPL,45,0,0,0.0,0.0,0.0
Omari Hutchinson,omari hutchinson,hutchinson,Nott'm Forest,EPL,1676,1,7,2.01,3.87,2.7
Arnaud Kalimuendo,arnaud kalimuendo,kalimuendo,Nott'm Forest,EPL,89,0,0,0.44,0.02,0.0
John Victor Maciel Furtado,john victor maciel furtado,john,Nott'm Forest,EPL,437,0,0,0.0,0.0,0.0
Nicolò Savona,nicolo savona,savona,Nott'm Forest,EPL,1025,2,0,1.34,0.45,0.0
Luis Eduardo Soares da Silva,luis eduardo soares da silva,cuiabano,Nott'm Forest,EPL,0,0,0,0.0,0.0,0.0
Dilane Bakwa,dilane bakwa,bakwa,Nott'm Forest,EPL,549,0,2,0.54,1.01,1.3
Lorenzo Lucca,lorenzo lucca,lucca,Nott'm Forest,EPL,126,1,0,0.79,0.01,0.3
Luca Netz,luca netz,netz,Nott'm Forest,EPL,353,0,0,0.0,0.41,1.3
Archie Whitehall,archie whitehall,whitehall,Nott'm Forest,EPL,0,0,0,0.0,0.0,0.0
Jimmy Sinclair,jimmy sinclair,sinclair,Nott'm Forest,EPL,0,0,0,0.0,0.0,0.0
Lamin Sillah,lamin sillah,sillah,Nott'm Forest,EPL,0,0,0,0.0,0.0,0.0
Anthony Patterson,anthony patterson,patterson,Sunderland,EPL,0,0,0,0.0,0.0,0.0
Simon Moore,simon moore,moore,Sunderland,EPL,0,0,0,0.0,0.0,0.0
Blondy Nna Noukeu,blondy nna noukeu,nna noukeu,Sunderland,EPL,0,0,0,0.0,0.0,0.0
Daniel Ballard,daniel ballard,ballard,Sunderland,EPL,2144,2,2,2.46,0.63,0.0
Trai Hume,trai hume,hume,Sunderland,EPL,3032,2,1,2.27,2.05,5.0
Aji Alese,aji alese,alese,Sunderland,EPL,0,0,0,0.0,0.0,0.0
Joe Anderson,joe anderson,anderson,Sunderland,EPL,0,0,0,0.0,0.0,0.0
Dennis Cirkin,dennis cirkin,cirkin,Sunderland,EPL,319,0,0,0.08,0.02,0.0
Leo Fuhr Hjelde,leo fuhr hjelde,hjelde,Sunderland,EPL,0,0,0,0.0,0.0,0.0
Niall Huggins,niall huggins,huggins,Sunderland,EPL,0,0,0,0.0,0.0,0.0
Zak Johnson,zak johnson,johnson,Sunderland,EPL,0,0,0,0.0,0.0,0.0
Luke O'Nien,luke o'nien,o'nien,Sunderland,EPL,565,0,1,0.15,0.13,3.3
Timothée Pembélé,timothee pembele,pembele,Sunderland,EPL,0,0,0,0.0,0.0,0.0
Reinildo Mandava,reinildo mandava,reinildo,Sunderland,EPL,1966,0,2,0.13,0.62,4.0
Jenson Seelt,jenson seelt,seelt,Sunderland,EPL,133,0,0,0.0,0.01,0.0
Simon Adingra,simon adingra,adingra,Sunderland,EPL,649,1,1,0.35,0.62,0.0
Habib Diarra,habib diarra,diarra,Sunderland,EPL,1403,2,6,3.27,0.85,1.3
Patrick Roberts,patrick roberts,roberts,Sunderland,EPL,27,0,0,0.03,0.02,0.0
Milan Aleksić,milan aleksic,aleksic,Sunderland,EPL,0,0,0,0.0,0.0,0.0
Enzo Le Fée,enzo le fee,e.le fee,Sunderland,EPL,2930,5,6,5.22,5.95,7.0
Romaine Mundle,romaine mundle,mundle,Sunderland,EPL,399,0,0,0.87,0.48,0.0
Dan Neil,dan neil,neil,Sunderland,EPL,13,0,0,0.0,0.0,0.0
Ian Poveda-Ocampo,ian poveda-ocampo,poveda,Sunderland,EPL,0,0,0,0.0,0.0,0.0
Chris Rigg,chris rigg,rigg,Sunderland,EPL,758,1,1,0.86,0.93,1.7
Noah Sadiki,noah sadiki,sadiki,Sunderland,EPL,2891,0,2,1.43,1.46,2.7
Chemsdine Talbi,chemsdine talbi,talbi,Sunderland,EPL,1553,4,2,2.13,1.18,1.3
Abdoullah Ba,abdoullah ba,ba,Sunderland,EPL,0,0,0,0.0,0.0,0.0
Alan Browne,alan browne,browne,Sunderland,EPL,0,0,0,0.0,0.0,0.0
Pierre Ekwah Elimby,pierre ekwah elimby,ekwah,Sunderland,EPL,0,0,0,0.0,0.0,0.0
Harrison Jones,harrison jones,h.jones,Sunderland,EPL,0,0,0,0.0,0.0,0.0
Jay Matete,jay matete,matete,Sunderland,EPL,0,0,0,0.0,0.0,0.0
Nectarios Triantis,nectarios triantis,triantis,Sunderland,EPL,0,0,0,0.0,0.0,0.0
Wilson Isidor,wilson isidor,isidor,Sunderland,EPL,1148,6,1,4.7,0.38,2.0
Eliezer Mayenda Dossou,eliezer mayenda dossou,mayenda,Sunderland,EPL,751,2,0,2.13,0.22,0.3
Ahmed Abdullahi,ahmed abdullahi,abdullahi,Sunderland,EPL,0,0,0,0.0,0.0,0.0
Luís Hemir Silva Semedo,luis hemir silva semedo,luis hemir,Sunderland,EPL,0,0,0,0.0,0.0,0.0
Nazarii Rusyn,nazarii rusyn,rusyn,Sunderland,EPL,0,0,0,0.0,0.0,0.0
Granit Xhaka,granit xhaka,xhaka,Sunderland,EPL,2901,1,6,1.01,3.73,2.7
Robin Roefs,robin roefs,roefs,Sunderland,EPL,3150,0,0,0.0,0.1,3.7
Arthur Masuaku,arthur masuaku,masuaku,Sunderland,EPL,125,0,0,0.07,0.08,0.0
Omar Alderete,omar alderete,alderete,Sunderland,EPL,2797,1,1,1.62,0.91,3.0
Nordi Mukiele,nordi mukiele,mukiele,Sunderland,EPL,2784,3,5,1.62,2.65,4.0
Lutsharel Geertruida,lutsharel geertruida,geertruida,Sunderland,EPL,1681,0,0,0.79,0.85,3.0
Brian Brobbey,brian brobbey,brobbey,Sunderland,EPL,1920,7,2,6.02,0.67,4.7
Bertrand Traoré,bertrand traore,traore,Sunderland,EPL,634,1,1,0.48,0.25,0.0
Jenson Jones,jenson jones,jenson jones,Sunderland,EPL,0,0,0,0.0,0.0,0.0
Tymur Tutierov,tymur tutierov,tutierov,Sunderland,EPL,0,0,0,0.0,0.0,0.0
Djiamgone Jocelin Ta Bi,djiamgone jocelin ta bi,jocelin.t,Sunderland,EPL,38,0,0,0.0,0.04,0.0
Melker Ellborg,melker ellborg,ellborg,Sunderland,EPL,270,0,0,0.0,0.02,0.0
Nilson Angulo,nilson angulo,angulo,Sunderland,EPL,401,0,0,0.77,0.12,1.3
Jack Whittaker,jack whittaker,whittaker,Sunderland,EPL,0,0,0,0.0,0.0,0.0
Jaydon Jones,jaydon jones,jones,Sunderland,EPL,0,0,0,0.0,0.0,0.0
Guglielmo Vicario,guglielmo vicario,vicario,Spurs,EPL,2790,0,0,0.0,0.04,0.0
Brandon Austin,brandon austin,austin,Spurs,EPL,0,0,0,0.0,0.0,0.0
Antonín Kinský,antonin kinsky,kinsky,Spurs,EPL,630,0,0,0.0,0.0,3.0
Pedro Porro Sauceda,pedro porro sauceda,pedro porro,Spurs,EPL,2793,1,3,1.05,4.37,3.7
Cristian Romero,cristian romero,romero,Spurs,EPL,1869,4,1,1.39,1.25,0.0
Kevin Danso,kevin danso,danso,Spurs,EPL,1489,0,0,0.62,0.28,4.7
Ben Davies,ben davies,davies,Spurs,EPL,136,1,0,0.49,0.07,0.0
Radu Drăgușin,radu dragusin,dragusin,Spurs,EPL,515,0,0,0.31,0.01,0.3
Djed Spence,djed spence,spence,Spurs,EPL,2049,0,0,0.9,1.77,2.7
Destiny Udogie,destiny udogie,udogie,Spurs,EPL,1335,0,1,0.18,0.72,3.0
Micky van de Ven,micky van de ven,van de ven,Spurs,EPL,3041,4,1,2.82,0.38,2.7
Ashley Phillips,ashley phillips,phillips,Spurs,EPL,0,0,0,0.0,0.0,0.0
Takai Kōta,takai kota,takai,Spurs,EPL,0,0,0,0.0,0.0,0.0
Luka Vušković,luka vuskovic,vuskovic,Spurs,EPL,0,0,0,0.0,0.0,0.0
Son Heung-min,son heung-min,son,Spurs,EPL,0,0,0,0.0,0.0,0.0
James Maddison,james maddison,maddison,Spurs,EPL,34,0,0,0.21,0.06,1.0
Mohammed Kudus,mohammed kudus,kudus,Spurs,EPL,1535,2,6,1.92,2.41,0.0
Dejan Kulusevski,dejan kulusevski,kulusevski,Spurs,EPL,0,0,0,0.0,0.0,0.0
Mathys Tel,mathys tel,tel,Spurs,EPL,1334,4,2,2.47,2.43,4.7
Rodrigo Bentancur,rodrigo bentancur,bentancur,Spurs,EPL,1880,1,1,0.72,0.84,4.0
Lucas Bergvall,lucas bergvall,bergvall,Spurs,EPL,955,1,3,1.23,0.43,0.3
Yves Bissouma,yves bissouma,bissouma,Spurs,EPL,600,0,0,0.36,0.1,0.0
Wilson Odobert,wilson odobert,odobert,Spurs,EPL,972,0,2,1.92,1.21,0.0
Manor Solomon,manor solomon,solomon,Spurs,EPL,0,0,0,0.0,0.0,0.0
Bryan Gil Salvatierra,bryan gil salvatierra,bryan,Spurs,EPL,0,0,0,0.0,0.0,0.0
Archie Gray,archie gray,gray,Spurs,EPL,1471,2,2,1.5,1.29,0.3
Mikey Moore,mikey moore,moore,Spurs,EPL,0,0,0,0.0,0.0,0.0
Pape Matar Sarr,pape matar sarr,p.m.sarr,Spurs,EPL,1388,2,4,1.63,1.11,1.3
Yang Min-hyeok,yang min-hyeok,min-hyeok,Spurs,EPL,0,0,0,0.0,0.0,0.0
Callum Olusesi,callum olusesi,olusesi,Spurs,EPL,14,0,0,0.0,0.01,0.0
Dominic Solanke-Mitchell,dominic solanke-mitchell,solanke,Spurs,EPL,997,3,0,2.97,0.34,0.0
Richarlison de Andrade,richarlison de andrade,richarlison,Spurs,EPL,1954,11,4,8.64,1.46,3.7
Will Lankshear,will lankshear,lankshear,Spurs,EPL,0,0,0,0.0,0.0,0.0
Dane Scarlett,dane scarlett,scarlett,Spurs,EPL,7,0,0,0.0,0.01,0.0
João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,joao maria lobo alves palhares costa palhinha goncalves,j.palhinha,Spurs,EPL,2192,5,3,2.72,0.65,6.3
Xavi Simons,xavi simons,xavi,Spurs,EPL,1747,2,5,3.06,3.85,0.0
Randal Kolo Muani,randal kolo muani,kolo muani,Spurs,EPL,1655,1,1,2.07,1.63,1.7
Jun'ai Byfield,jun'ai byfield,byfield,Spurs,EPL,1,0,0,0.0,0.0,0.0
James Rowswell,james rowswell,rowswell,Spurs,EPL,1,0,0,0.0,0.0,0.0
Yusuf Akhamrich,yusuf akhamrich,akhamrich,Spurs,EPL,0,0,0,0.0,0.0,0.0
Lucá Williams-Barnett,luca williams-barnett,williams-barnett,Spurs,EPL,0,0,0,0.0,0.0,0.0
Conor Gallagher,conor gallagher,gallagher,Spurs,EPL,1183,1,1,1.23,0.7,2.3
João Victor de Souza Menezes,joao victor de souza menezes,souza,Spurs,EPL,142,0,0,0.02,0.03,0.0
Rio Kyerematen,rio kyerematen,kyerematen,Spurs,EPL,0,0,0,0.0,0.0,0.0
James Wilson,james wilson,wilson,Spurs,EPL,0,0,0,0.0,0.0,0.0
Adama Traoré Diarra,adama traore diarra,adama,West Ham,EPL,376,0,0,0.69,0.57,0.0
Alphonse Areola,alphonse areola,areola,West Ham,EPL,1800,0,1,0.0,0.0,0.0
Wes Foderingham,wes foderingham,foderingham,West Ham,EPL,0,0,0,0.0,0.0,0.0
Krisztián Hegyi,krisztian hegyi,hegyi,West Ham,EPL,0,0,0,0.0,0.0,0.0
El Hadji Malick Diouf,el hadji malick diouf,diouf,West Ham,EPL,2706,0,6,0.57,2.51,2.7
Emerson Palmieri dos Santos,emerson palmieri dos santos,emerson,West Ham,EPL,0,0,0,0.0,0.0,0.0
Maximilian Kilman,maximilian kilman,kilman,West Ham,EPL,1559,0,0,0.56,0.25,0.0
Konstantinos Mavropanos,konstantinos mavropanos,mavropanos,West Ham,EPL,2532,3,0,2.47,0.7,5.0
Nayef Aguerd,nayef aguerd,n.aguerd,West Ham,EPL,180,0,0,0.1,0.03,0.0
Ollie Scarles,ollie scarles,scarles,West Ham,EPL,656,0,1,0.18,0.32,0.0
Jean-Clair Todibo,jean-clair todibo,todibo,West Ham,EPL,1817,0,1,0.25,0.32,0.3
Aaron Wan-Bissaka,aaron wan-bissaka,wan-bissaka,West Ham,EPL,2080,0,3,0.0,1.0,1.0
Kaelan Casey,kaelan casey,casey,West Ham,EPL,0,0,0,0.0,0.0,0.0
Lucas Tolentino Coelho de Lima,lucas tolentino coelho de lima,l.paqueta,West Ham,EPL,1513,4,2,2.85,2.0,0.0
Tomáš Souček,tomas soucek,soucek,West Ham,EPL,2190,5,2,5.73,0.52,2.0
Crysencio Summerville,crysencio summerville,summerville,West Ham,EPL,2470,5,4,5.43,3.35,3.0
Edson Álvarez Velázquez,edson alvarez velazquez,alvarez,West Ham,EPL,0,0,0,0.0,0.0,0.0
Maxwel Cornet,maxwel cornet,cornet,West Ham,EPL,0,0,0,0.0,0.0,0.0
Guido Rodríguez,guido rodriguez,g.rodriguez,West Ham,EPL,175,0,0,0.03,0.04,0.0
Luis Guilherme Lira dos Santos,luis guilherme lira dos santos,l.guilherme,West Ham,EPL,121,0,0,0.07,0.03,0.0
George Earthy,george earthy,earthy,West Ham,EPL,8,0,0,0.0,0.01,0.0
Andy Irving,andy irving,irving,West Ham,EPL,156,0,0,0.0,0.17,0.0
Lewis Orford,lewis orford,orford,West Ham,EPL,0,0,0,0.0,0.0,0.0
Freddie Potts,freddie potts,potts,West Ham,EPL,1162,0,1,0.21,1.06,0.0
Jarrod Bowen,jarrod bowen,bowen,West Ham,EPL,3406,9,13,7.22,5.21,5.3
Niclas Füllkrug,niclas fullkrug,fullkrug,West Ham,EPL,407,0,0,0.93,0.21,0.0
Callum Marshall,callum marshall,marshall,West Ham,EPL,58,0,0,0.13,0.0,0.0
Kyle Walker-Peters,kyle walker-peters,walker-peters,West Ham,EPL,1378,1,0,1.13,0.37,2.0
Callum Wilson,callum wilson,wilson,West Ham,EPL,1234,7,2,7.6,0.54,2.7
Mads Hermansen,mads hermansen,hermansen,West Ham,EPL,1620,0,1,0.0,0.01,4.7
Mateus Gonçalo Espanha Fernandes,mateus goncalo espanha fernandes,m.fernandes,West Ham,EPL,3017,3,4,1.99,2.96,5.0
Soungoutou Magassa,soungoutou magassa,s.magassa,West Ham,EPL,971,1,0,0.44,0.32,0.0
Lukasz Fabianski,lukasz fabianski,fabianski,West Ham,EPL,0,0,0,0.0,0.0,0.0
Ezra Mayers,ezra mayers,mayers,West Ham,EPL,113,0,0,0.12,0.49,0.0
Airidas Golambeckis,airidas golambeckis,golambeckis,West Ham,EPL,0,0,0,0.0,0.0,0.0
Mohamadou Kanté,mohamadou kante,mohamadou kante,West Ham,EPL,67,0,0,0.07,0.04,0.3
Pablo Felipe Pereira de Jesus,pablo felipe pereira de jesus,pablo,West Ham,EPL,819,0,1,1.05,1.11,1.0
Valentín Castellanos,valentin castellanos,taty,West Ham,EPL,1384,6,1,5.75,0.81,5.0
Keiber Lamadrid,keiber lamadrid,lamadrid,West Ham,EPL,0,0,0,0.0,0.0,0.0
Axel Disasi,axel disasi,disasi,West Ham,EPL,1254,0,0,1.1,0.03,3.0
Finlay Herrick,finlay herrick,herrick,West Ham,EPL,0,0,0,0.0,0.0,0.0
Sam Johnstone,sam johnstone,johnstone,Wolves,EPL,1080,0,0,0.0,0.02,0.0
José Malheiro de Sá,jose malheiro de sa,jose sa,Wolves,EPL,2070,0,0,0.0,0.04,3.0
Daniel Bentley,daniel bentley,bentley,Wolves,EPL,270,0,0,0.0,0.0,0.7
Emmanuel Agbadou,emmanuel agbadou,agbadou,Wolves,EPL,1100,0,0,0.57,0.4,0.0
Matt Doherty,matt doherty,doherty,Wolves,EPL,786,0,0,0.09,0.19,0.0
Hugo Bueno López,hugo bueno lopez,h.bueno,Wolves,EPL,2359,1,3,0.86,3.49,0.7
Yerson Mosquera Valdelamar,yerson mosquera valdelamar,mosquera,Wolves,EPL,2137,0,0,2.51,0.62,2.7
Rodrigo Martins Gomes,rodrigo martins gomes,r.gomes,Wolves,EPL,954,3,0,2.13,0.39,1.7
Santiago Ignacio Bueno,santiago ignacio bueno,s.bueno,Wolves,EPL,2552,3,2,2.28,1.45,1.7
Toti Gomes,toti gomes,toti,Wolves,EPL,1423,0,0,0.53,0.29,1.3
Ki-Jana Hoever,ki-jana hoever,hoever,Wolves,EPL,423,0,0,0.02,0.36,0.0
Bastien Meupiyou Menadjou,bastien meupiyou menadjou,meupiyou,Wolves,EPL,0,0,0,0.0,0.0,0.0
Pedro Cardoso de Lima,pedro cardoso de lima,pedro lima,Wolves,EPL,257,0,0,0.35,0.37,1.0
Alfie Pond,alfie pond,pond,Wolves,EPL,0,0,0,0.0,0.0,0.0
Hwang Hee-chan,hwang hee-chan,hee chan,Wolves,EPL,1439,2,2,2.37,1.57,2.3
André Trindade da Costa Neto,andre trindade da costa neto,andre,Wolves,EPL,2760,1,0,0.52,0.99,2.7
Jean-Ricner Bellegarde,jean-ricner bellegarde,bellegarde,Wolves,EPL,1239,1,1,1.04,1.06,0.7
Fer López González,fer lopez gonzalez,fer lopez,Wolves,EPL,228,0,1,0.16,0.61,0.0
João Victor Gomes da Silva,joao victor gomes da silva,j.gomes,Wolves,EPL,2829,1,2,1.29,2.09,2.0
Gonçalo Manuel Ganchinho Guedes,goncalo manuel ganchinho guedes,guedes,Wolves,EPL,0,0,0,0.0,0.0,0.0
Marshall Munetsi,marshall munetsi,munetsi,Wolves,EPL,872,1,2,1.64,0.38,0.0
Boubacar Traoré,boubacar traore,b.traore,Wolves,EPL,0,0,0,0.0,0.0,0.0
Tawanda Chirewa,tawanda chirewa,chirewa,Wolves,EPL,25,0,0,0.0,0.0,0.0
Tom Edozie,tom edozie,edozie,Wolves,EPL,12,1,0,0.23,0.0,0.0
Enso González Medina,enso gonzalez medina,gonzalez,Wolves,EPL,0,0,0,0.0,0.0,0.0
Joe Hodge,joe hodge,hodge,Wolves,EPL,0,0,0,0.0,0.0,0.0
Fábio Soares Silva,fabio soares silva,fabio silva,Wolves,EPL,0,0,0,0.0,0.0,0.0
Saša Kalajdžić,sasa kalajdzic,kalajdzic,Wolves,EPL,14,0,0,0.0,0.01,0.0
Leon Chiwome,leon chiwome,chiwome,Wolves,EPL,0,0,0,0.0,0.0,0.0
Nathan Fraser,nathan fraser,fraser,Wolves,EPL,0,0,0,0.0,0.0,0.0
Jhon Arias,jhon arias,j.arias,Wolves,EPL,1117,1,0,3.38,0.62,0.0
David Møller Wolfe,david møller wolfe,møller wolfe,Wolves,EPL,1042,0,2,0.13,1.09,1.7
Jackson Tchatchoua,jackson tchatchoua,tchatchoua,Wolves,EPL,1834,0,1,0.33,1.6,0.0
Ladislav Krejcí,ladislav krejci,krejci,Wolves,EPL,2356,2,2,2.23,1.49,2.7
Tolu Arokodare,tolu arokodare,tolu,Wolves,EPL,1402,3,2,5.49,0.39,1.0
Mateus Mané,mateus mane,mane,Wolves,EPL,1787,3,2,2.01,3.69,5.0
Saheed Olagunju,saheed olagunju,olagunju,Wolves,EPL,0,0,0,0.0,0.0,0.0
Luke Rawlings,luke rawlings,rawlings,Wolves,EPL,0,0,0,0.0,0.0,0.0
Temple Ojinnaka,temple ojinnaka,ojinnaka,Wolves,EPL,0,0,0,0.0,0.0,0.0
Ethan Sutherland,ethan sutherland,sutherland,Wolves,EPL,0,0,0,0.0,0.0,0.0
Jerome Abbey,jerome abbey,abbey,Wolves,EPL,16,0,0,0.0,0.0,0.3
Angel Gomes,angel gomes,angel,Wolves,EPL,457,0,0,0.25,0.28,1.0
Adam Armstrong,adam armstrong,armstrong,Wolves,EPL,1141,2,2,2.77,0.85,3.7
Alfie Brooks,alfie brooks,brooks,Wolves,EPL,0,0,0,0.0,0.0,0.0
Josh Gracey,josh gracey,gracey,Wolves,EPL,0,0,0,0.0,0.0,0.0
